numero,pregunta,A,B,C,D,letra_correcta,texto_respuesta_correcta,bloque_bruto
1,En el art. 43 de la Constitución Española se dispone:,"Los poderes públicos mantendrán un régimen público de Seguridad Social para todos los ciudadanos, que garantice la asistencia y prestaciones sociales suficientes ante situaciones de necesidad, especialmente en caso de desempleo. La asistencia y prestaciones complementarias serán libres.","Los poderes públicos aseguran la protección social, económica y jurídica de la familia.",Compete a los poderes públicos organizar y tutelar la salud pública a través de medidas preventivas y de las prestaciones y servicios necesarios.,Se reconoce el derecho a la propiedad privada y a la herencia.,C,Compete a los poderes públicos organizar y tutelar la salud pública a través de medidas preventivas y de las prestaciones y servicios necesarios.,"1. En el art. 43 de la Constitución Española se dispone:
A) Los poderes públicos mantendrán un régimen público de Seguridad Social para todos los ciudadanos, que
garantice la asistencia y prestaciones sociales suficientes ante situaciones de necesidad, especialmente en
caso de desempleo. La asistencia y prestaciones complementarias serán libres.
B) Los poderes públicos aseguran la protección social, económica y jurídica de la familia.
C) Compete a los poderes públicos organizar y tutelar la salud pública a través de medidas preventivas y de las
prestaciones y servicios necesarios.
D) Se reconoce el derecho a la propiedad privada y a la herencia.
Respuesta Correcta: C"
2,¿En qué artículo de la Constitución Española (CE) se reconoce el derecho a la protección de la salud?,Artículo 40 de la CE.,Artículo 43 de la CE.,Artículo 14 de la CE.,Artículo 10 de la CE.,B,Artículo 43 de la CE.,"2. ¿En qué artículo de la Constitución Española (CE) se reconoce el derecho a la protección de la salud?
A) Artículo 40 de la CE.
B) Artículo 43 de la CE.
C) Artículo 14 de la CE.
D) Artículo 10 de la CE.
Respuesta Correcta: B"
3,"El Título I de la Constitución Española ""De los derechos y deberes fundamentales"" comprende los artículos:",Artículo 10 al 55.,Artículo 11 al 55.,Artículo 15 al 29.,Artículo 1 al 9.,A,Artículo 10 al 55.,"3. El Título I de la Constitución Española ""De los derechos y deberes fundamentales"" comprende los artículos:
A) Artículo 10 al 55.
B) Artículo 11 al 55.
C) Artículo 15 al 29.
D) Artículo 1 al 9.
Respuesta Correcta: A"
4,La Constitución Española de 1978 consta de:,"169 artículos, y se estructura en un Preámbulo, un Título Preliminar y 10 Títulos.","168 artículos, y se estructura en un Preámbulo, un Título Preliminar y 10 Capítulos.","170 artículos, y se estructura en un Preámbulo, un Título Preliminar y 10 Capítulos.","169 artículos, y se estructura en un Título Preliminar y 10 Capítulos.",A,"169 artículos, y se estructura en un Preámbulo, un Título Preliminar y 10 Títulos.","4. La Constitución Española de 1978 consta de:
A) 169 artículos, y se estructura en un Preámbulo, un Título Preliminar y 10 Títulos.
B) 168 artículos, y se estructura en un Preámbulo, un Título Preliminar y 10 Capítulos.
C) 170 artículos, y se estructura en un Preámbulo, un Título Preliminar y 10 Capítulos.
D) 169 artículos, y se estructura en un Título Preliminar y 10 Capítulos.
Respuesta Correcta: A"
5,El Capítulo 4 Título I de la Constitución Española consta de:,Un único artículo.,Tres artículos.,Dos artículos.,Cuatro artículos.,C,Dos artículos.,"5. El Capítulo 4 Título I de la Constitución Española consta de:
A) Un único artículo.
B) Tres artículos.
C) Dos artículos.
D) Cuatro artículos.
Respuesta Correcta: C"
6,"Señale cuál de los siguientes derechos no goza de las garantías que otorga el artículo 53.2 de la Constitución
Española:","La libertad ideológica, religiosa y de culto.",La libertad de cátedra.,El derecho a la protección de la salud.,El derecho de asociación.,C,El derecho a la protección de la salud.,"6. Señale cuál de los siguientes derechos no goza de las garantías que otorga el artículo 53.2 de la Constitución
Española:
A) La libertad ideológica, religiosa y de culto.
B) La libertad de cátedra.
C) El derecho a la protección de la salud.
D) El derecho de asociación.
Respuesta Correcta: C"
7,"¿Quiénes deberán de informar a los usuarios de los servicios del sistema sanitario público, o vinculados a él, de
sus derechos y deberes? Seleccione una:",Las Leyes.,Los Poderes Públicos.,La Ley General de Sanidad.,El Sistema Nacional de Salud.,B,Los Poderes Públicos.,"7. ¿Quiénes deberán de informar a los usuarios de los servicios del sistema sanitario público, o vinculados a él, de
sus derechos y deberes? Seleccione una:
A) Las Leyes.
B) Los Poderes Públicos.
C) La Ley General de Sanidad.
D) El Sistema Nacional de Salud.
Respuesta Correcta: B"
8,"El Título I de la Constitución, en su Capítulo II, contiene:","Dos Secciones, respectivamente tituladas ""De los derechos fundamentales y de las libertades públicas"" y ""De los derechos y deberes de los ciudadanos"".","Dos Secciones, respectivamente tituladas ""De los españoles y los extranjeros"" y ""De los derechos y deberes de los ciudadanos"".","Tres Secciones, respectivamente tituladas ""De los españoles y los extranjeros"", ""De los derechos y libertades"" y ""De los deberes de los ciudadanos"".","Un solo artículo, que proclama la igualdad de todos ante la ley.",A,"Dos Secciones, respectivamente tituladas ""De los derechos fundamentales y de las libertades públicas"" y ""De los derechos y deberes de los ciudadanos"".","8. El Título I de la Constitución, en su Capítulo II, contiene:
A) Dos Secciones, respectivamente tituladas ""De los derechos fundamentales y de las libertades públicas"" y
""De los derechos y deberes de los ciudadanos"".
B) Dos Secciones, respectivamente tituladas ""De los españoles y los extranjeros"" y ""De los derechos y deberes
de los ciudadanos"".
C) Tres Secciones, respectivamente tituladas ""De los españoles y los extranjeros"", ""De los derechos y
libertades"" y ""De los deberes de los ciudadanos"".
D) Un solo artículo, que proclama la igualdad de todos ante la ley.
Respuesta Correcta: A"
9,"Entre los derechos fundamentales proclamados en la Sección 1ª Capítulo 2º Título 1º de la Constitución se
incluyen:","El derecho a la igualdad, el derecho al trabajo y el derecho a la libertad.","El derecho a contraer matrimonio con plena igualdad jurídica, el derecho a sindicarse libremente y el derecho a la educación.","El derecho a la tutela judicial efectiva, el derecho a sindicarse libremente y el derecho de petición.","El derecho a la educación, el derecho a sindicarse libremente y el derecho al trabajo.",C,"El derecho a la tutela judicial efectiva, el derecho a sindicarse libremente y el derecho de petición.","9. Entre los derechos fundamentales proclamados en la Sección 1ª Capítulo 2º Título 1º de la Constitución se
incluyen:
A) El derecho a la igualdad, el derecho al trabajo y el derecho a la libertad.
B) El derecho a contraer matrimonio con plena igualdad jurídica, el derecho a sindicarse libremente y el
derecho a la educación.
C) El derecho a la tutela judicial efectiva, el derecho a sindicarse libremente y el derecho de petición.
D) El derecho a la educación, el derecho a sindicarse libremente y el derecho al trabajo.
Respuesta Correcta: C"
10,El derecho a la protección de la salud se encuadra:,"En el Título I Capitulo II, sección 2ª ""De los derechos y deberes de los ciudadanos"".","En el Título I Capitulo II, sección 1ª ""De los derechos fundamentales y de las libertades públicas"".","En el Título I Capitulo III ""De los principios rectores de la política social y económica"".","En el Título I Capítulo VI ""De los principios rectores de la política social y económica"".",C,"En el Título I Capitulo III ""De los principios rectores de la política social y económica"".","10. El derecho a la protección de la salud se encuadra:
A) En el Título I Capitulo II, sección 2ª ""De los derechos y deberes de los ciudadanos"".
B) En el Título I Capitulo II, sección 1ª ""De los derechos fundamentales y de las libertades públicas"".
C) En el Título I Capitulo III ""De los principios rectores de la política social y económica"".
D) En el Título I Capítulo VI ""De los principios rectores de la política social y económica"".
Respuesta Correcta: C"
